Id,label
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,0
